time,value
m 39,3.03E+04
m 40,2.85E+04
Fri,2.71E+04
Jul,2.91E+04
2,2.71E+04
2004,2.67E+04
d184,2.60E+04
JD 2,2.38E+04
4531,2.41E+04
88.5,2.56E+04
68,2.79E+04
h 19,2.54E+04
m 51,2.14E+04
m 52,2.33E+04
m 53,2.41E+04
m 54,2.42E+04
m 55,2.59E+04
m 56,2.38E+04
m 57,2.23E+04
m 58,1.93E+04
m 59,1.75E+04
m  0,1.90E+04
Fri,2.34E+04
Jul,2.62E+04
2,2.84E+04
2004,2.70E+04
d184,2.44E+04
JD 2,2.54E+04
4531,2.72E+04
88.5,2.75E+04
68,2.75E+04
h 20,3.04E+04
m 11,3.38E+04
m 12,3.00E+04
m 13,2.71E+04
m 14,2.87E+04
m 15,2.86E+04
m 16,2.55E+04
m 17,2.37E+04
m 18,2.39E+04
m 19,2.60E+04
m 20,2.34E+04
Fri,2.15E+04
Jul,2.39E+04
2,2.77E+04
2004,3.05E+04
d184,2.96E+04
JD 2,2.75E+04
4531,2.71E+04
88.5,2.06E+04
68,2.02E+04
h 20,2.24E+04
m 31,2.18E+04
m 32,2.24E+04
m 33,2.17E+04
m 34,2.45E+04
m 35,2.51E+04
m 36,2.34E+04
m 37,1.97E+04
m 38,1.54E+04
m 39,2.11E+04
m 40,2.62E+04
Fri,3.29E+04
Jul,3.64E+04
2,3.30E+04
2004,3.15E+04
d184,2.73E+04
JD 2,2.68E+04
4531,2.78E+04
88.5,2.23E+04
68,1.97E+04
h 20,2.23E+04
m 51,2.51E+04
m 52,2.40E+04
m 53,2.13E+04
m 54,2.29E+04
m 55,2.42E+04
m 56,2.89E+04
m 57,3.08E+04
m 58,2.69E+04
m 59,2.19E+04
m  0,1.91E+04
Fri,2.20E+04
Jul,2.31E+04
2,2.40E+04
2004,2.37E+04
d184,1.63E+04
JD 2,1.48E+04
4531,1.48E+04
88.5,1.37E+04
68,1.31E+04
h 21,7.48E+03
m 11,4.45E+03
m 12,8.69E+03
m 13,1.87E+04
m 14,3.03E+04
m 15,3.87E+04
m 16,3.75E+04
m 17,3.54E+04
m 18,3.03E+04
m 19,2.25E+04
m 20,1.97E+04
Fri,1.77E+04
Jul,1.64E+04
2,1.80E+04
2004,2.15E+04
d184,2.44E+04
JD 2,2.62E+04
4531,2.84E+04
88.5,2.71E+04
68,2.41E+04
h 21,1.92E+04
m 31,1.43E+04
m 32,1.42E+04
m 33,1.48E+04
m 34,1.34E+04
m 35,1.62E+04
m 36,2.08E+04
m 37,2.29E+04
m 38,2.22E+04
m 39,1.87E+04
m 40,1.78E+04
Fri,1.55E+04
Jul,1.27E+04
2,1.26E+04
2004,1.60E+04
d184,2.43E+04
JD 2,2.74E+04
4531,2.59E+04
88.5,2.52E+04
68,2.18E+04
h 21,1.90E+04
m 51,1.96E+04
m 52,1.60E+04
m 53,1.18E+04
m 54,1.39E+04
m 55,1.95E+04
m 56,2.26E+04
m 57,1.64E+04
m 58,1.31E+04
m 59,1.36E+04
m  0,1.62E+04
Fri,2.01E+04
Jul,2.26E+04
2,2.36E+04
2004,2.27E+04
d184,2.07E+04
JD 2,1.82E+04
4531,1.65E+04
88.5,1.42E+04
68,1.35E+04
h 22,1.39E+04
m 11,1.45E+04
m 12,1.63E+04
m 13,1.51E+04
m 14,1.20E+04
m 15,1.28E+04
m 16,1.42E+04
m 17,1.22E+04
m 18,1.37E+04
m 19,1.45E+04
m 20,1.50E+04
Fri,1.45E+04
Jul,1.16E+04
2,7.40E+03
2004,8.87E+03
d184,8.12E+03
JD 2,8.24E+03
4531,1.20E+04
88.5,1.23E+04
68,1.19E+04
h 22,1.07E+04
m 31,1.09E+04
m 32,6.88E+03
m 33,5.19E+03
m 34,4.20E+03
m 35,8.11E+03
m 36,1.03E+04
m 37,1.18E+04
m 38,1.42E+04
m 39,1.16E+04
m 40,9.38E+03
Fri,1.13E+04
Jul,1.38E+04
2,9.03E+03
2004,4.07E+03
d184,3.74E+03
JD 2,4.23E+03
4531,4.68E+03
88.5,5.15E+03
68,9.02E+03
h 22,1.10E+04
m 51,5.00E+03
m 52,1.14E+02
m 53,3.12E+03
m 54,7.32E+03
m 55,3.34E+03
m 56,2.70E+03
m 57,4.07E+03
m 58,6.27E+03
m 59,7.81E+03
m  0,5.44E+03
Fri,6.86E+02
Jul,3.47E+03
2,5.90E+03
2004,2.62E+03
d184,2.37E+02
JD 2,1.02E+03
4531,3.93E+03
88.5,-4.37E+02
68,-9.92E+02
h 23,3.14E+03
m 11,3.16E+03
m 12,-1.21E+03
m 13,-3.44E+03
m 14,-1.97E+03
m 15,6.93E+01
m 16,2.21E+03
m 17,2.62E+03
m 18,4.73E+02
m 19,-1.91E+03
m 20,-1.50E+03
Fri,3.30E+01
Jul,-1.27E+03
2,-1.59E+03
2004,-1.34E+03
d184,-2.28E+03
JD 2,-4.23E+03
4531,-2.42E+03
88.5,-6.87E+02
68,-2.71E+03
h 23,-1.00E+03
m 31,-6.87E+02
m 32,-7.92E+02
m 33,6.00E+02
m 34,-1.85E+03
m 35,-5.19E+03
m 36,-8.34E+03
m 37,-9.65E+03
m 38,-7.78E+03
m 39,-6.91E+03
m 40,-4.95E+03
Fri,-7.73E+03
Jul,-8.72E+03
2,-5.18E+03
2004,-3.83E+03
d184,-2.97E+03
JD 2,-2.31E+03
4531,-5.42E+03
88.5,-6.24E+03
68,-9.36E+03
h 23,-8.36E+03
m 51,-7.14E+03
m 52,-1.03E+04
m 53,-1.08E+04
m 54,-7.43E+03
m 55,-5.47E+03
m 56,-4.72E+03
m 57,-6.78E+03
m 58,-1.34E+04
m 59,-1.60E+04
m  0,-1.19E+04
Sat,-1.01E+04
Jul,-1.05E+04
3,-1.16E+04
2004,-7.68E+03
d185,-5.48E+03
JD 2,-7.20E+03
4531,-7.33E+03
89.5,-7.28E+03
68,-7.75E+03
h  0,-9.53E+03
m 11,-9.57E+03
m 12,-9.18E+03
m 13,-8.13E+03
m 14,-8.38E+03
m 15,-1.16E+04
m 16,-1.56E+04
m 17,-1.90E+04
m 18,-1.70E+04
m 19,-1.21E+04
m 20,-1.03E+04
Sat,-9.01E+03
Jul,-1.10E+04
3,-1.45E+04
2004,-1.75E+04
d185,-1.52E+04
JD 2,-1.38E+04
4531,-1.51E+04
89.5,-1.55E+04
68,-1.33E+04
h  0,-1.17E+04
m 31,-1.14E+04
m 32,-1.65E+04
m 33,-1.89E+04
m 34,-1.52E+04
m 35,-1.26E+04
m 36,-1.60E+04
m 37,-1.95E+04
m 38,-2.01E+04
m 39,-1.95E+04
m 40,-1.90E+04
Sat,-2.18E+04
Jul,-2.07E+04
3,-1.55E+04
2004,-1.42E+04
d185,-1.61E+04
JD 2,-1.67E+04
4531,-1.67E+04
89.5,-1.86E+04
68,-2.26E+04
h  0,-2.26E+04
m 51,-1.98E+04
m 52,-2.11E+04
m 53,-2.15E+04
m 54,-2.20E+04
m 55,-2.18E+04
m 56,-1.97E+04
m 57,-1.76E+04
m 58,-1.57E+04
m 59,-1.43E+04
m  0,-1.76E+04
Sat,-2.07E+04
Jul,-2.07E+04
3,-2.25E+04
2004,-2.35E+04
d185,-2.16E+04
JD 2,-1.92E+04
4531,-2.09E+04
89.5,-2.29E+04
68,-2.07E+04
h  1,-2.03E+04
m 11,-2.12E+04
m 12,-2.42E+04
m 13,-2.42E+04
m 14,-2.27E+04
m 15,-2.07E+04
m 16,-1.77E+04
m 17,-1.93E+04
m 18,-2.23E+04
m 19,-2.46E+04
m 20,-2.25E+04
Sat,-2.10E+04
Jul,-2.13E+04
3,-2.35E+04
2004,-2.24E+04
d185,-2.13E+04
JD 2,-2.27E+04
4531,-2.40E+04
89.5,-2.75E+04
68,-2.82E+04
